author_name;book_id;role_name
Махарадзе Г.;870573;пер
Андерсен ГХ.;1203822;автор
Громов А.;254212;автор
Браун Ф.;986191;автор
Джексон А.;922702;автор
Шевченко О.;1169001;автор
Чойжинимаева С.;859547;автор
Галанкин К.;1258297;автор
Андреева И.;265761;автор
Брошар Д.;945579;автор
Лао Минь.;1233462;автор
Вертягина А.;853164;ред
Саломатина Е.;409054;ред
Михайлов Г.;776580;автор
Лем С.;843268;автор
Васильева О.;493621;автор
Болотонь Е.;1172383;автор
Метлицкая М.;1186914;автор
Брюсов В.;978568;автор
Веркин Э.;870708;автор
Двинина Л.;340792;худ
Хаузер Д.;1258264;автор
Шубина Е.;1073276;ред
Вальясинди Ф.;1073303;автор
Стогоff И.;315982;автор
Лесовская С.;378646;автор
Онгор А.;865178;автор
Гурджиев Г.;1238811;автор
Ланцов М.;997726;автор
Кандинский В.;1042400;автор
Левитин М.;1206904;автор
Моэм С.;275927;автор
Дэр Т.;896864;автор
Хадуева Ф.;1055638;автор
Сакс О.;1222835;автор
Леонова З.;984871;автор
Луганцева Т.;1026416;автор
Очеретний А.;706739;автор
Смилевска Л.;887263;ред
Ая эН.;1010331;автор
Петрученко О.;950638;автор
Ридли М.;1013936;автор
Майер С.;948496;автор
Стасов В.;1224490;автор
Хименес А.;844456;автор
Алпексеев Ф.;876324;автор
Данелия Г.;1092750;автор
Персиков Г.;871365;автор
Позина И.;1076437;ред
Колычев В.;856597;автор
Резько И.;495779;автор
Травина И.;767986;автор
Обручев В.;453955;ред
Кейн Р.;265194;автор
Муди Х.;1082657;автор
Игнатова А.;1215173;автор
Ситель А.;1008730;автор
Котовская И.;940033;переск
Абер М.;756184;автор
Елисеева Л.;857568;автор
Некрасов А.;1076030;автор
Чуковский К.;1222839;автор
Толстой Л.;1056856;автор
Драгунский В.;887289;автор
Райдер Х.;976624;автор
Кобринец О.;857134;автор
Томах Я.;453959;автор
Дмитриева В.;686373;сост
Джамеев В.;867060;автор
Грей С.;818202;автор
Снегирева Е.;901437;автор
Воронцов Н.;813826;автор
Талалаева Е.;868599;ред
Аверин Н.;743694;сост
Константинов А.;996559;автор
Харкнесс Д.;1191931;автор
Сурженко Я.;493974;ред
Цветкова Н.;255665;ред
Прокопьева Е.;430599;автор
Ермакович Д.;962496;автор
Голсуорси Дж.;937083;автор
Кулешова О.;980166;ред
Хаксли О.;863544;автор
Калинина Д.;1071599;автор
Бернс М.;1203171;автор
Кетро М.;989115;автор
СентКроу Л.;914896;автор
Леонов Н.;1059901;автор
Арамбуру Ф.;1206454;автор
Сандерленд Л.;1213825;автор
Фромм Э.;749291;автор
Харрис Ф.;1229832;автор
Скирюк Д.;1204565;автор
Свитленд Д.;989645;автор
Филиппова М.;1054756;автор
Сорокина Р.;1070132;автор
Боумен В.;908058;автор
Коултер К.;338043;автор
Чеснова И.;730227;автор
Верлен П.;1095732;автор
Саломатина Е.;638429;пер
Гардт А.;842208;автор
